Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming,sentiment
2025-01-18 11:41:20,Anggun,5,"Ini ada tips dari teman saya, tolong dibaca yah. Bagi kalian yang merasa gagal verifikasi sampai pulsa habis setelah ganti nomor, saya sarankan untuk hapus data aplikasi BCA Mobilenya, baru dicoba lagi. Teman saya berhasil coba pakai cara ini dan bisa login kembali rekening BCA Mobilenya. Jika masih gagal karena masalah koneksi, coba gunakan SIM card 1 untuk akses internetnya. Jika gagal kirim OTP, coba cari lokasi yang jaringannya mudah menerima SMS.",Ini ada tips dari teman saya tolong dibaca yah Bagi kalian yang merasa gagal verifikasi sampai pulsa habis setelah ganti nomor saya sarankan untuk hapus data aplikasi BCA Mobilenya baru dicoba lagi Teman saya berhasil coba pakai cara ini dan bisa login kembali rekening BCA Mobilenya Jika masih gagal karena masalah koneksi coba gunakan SIM card  untuk akses internetnya Jika gagal kirim OTP coba cari lokasi yang jaringannya mudah menerima SMS,ini ada tips dari teman saya tolong dibaca yah bagi kalian yang merasa gagal verifikasi sampai pulsa habis setelah ganti nomor saya sarankan untuk hapus data aplikasi bca mobilenya baru dicoba lagi teman saya berhasil coba pakai cara ini dan bisa login kembali rekening bca mobilenya jika masih gagal karena masalah koneksi coba gunakan sim card  untuk akses internetnya jika gagal kirim otp coba cari lokasi yang jaringannya mudah menerima sms,ini ada tips dari teman saya tolong dibaca ya bagi kalian yang merasa gagal verifikasi sampai pulsa habis setelah ganti nomor saya sarankan untuk hapus data aplikasi baca mobilenya baru dicoba lagi teman saya berhasil coba pakai cara ini dan bisa login kembali rekening baca mobilenya jika masih gagal karena masalah koneksi coba gunakan sim card untuk akses internetnya jika gagal kirim otp coba cari lokasi yang jaringannya mudah menerima sms,"['ini', 'ada', 'tips', 'dari', 'teman', 'saya', 'tolong', 'dibaca', 'ya', 'bagi', 'kalian', 'yang', 'merasa', 'gagal', 'verifikasi', 'sampai', 'pulsa', 'habis', 'setelah', 'ganti', 'nomor', 'saya', 'sarankan', 'untuk', 'hapus', 'data', 'aplikasi', 'baca', 'mobilenya', 'baru', 'dicoba', 'lagi', 'teman', 'saya', 'berhasil', 'coba', 'pakai', 'cara', 'ini', 'dan', 'bisa', 'login', 'kembali', 'rekening', 'baca', 'mobilenya', 'jika', 'masih', 'gagal', 'karena', 'masalah', 'koneksi', 'coba', 'gunakan', 'sim', 'card', 'untuk', 'akses', 'internetnya', 'jika', 'gagal', 'kirim', 'otp', 'coba', 'cari', 'lokasi', 'yang', 'jaringannya', 'mudah', 'menerima', 'sms']","['tips', 'teman', 'tolong', 'dibaca', 'ya', 'gagal', 'verifikasi', 'pulsa', 'habis', 'ganti', 'nomor', 'sarankan', 'hapus', 'data', 'aplikasi', 'baca', 'mobilenya', 'dicoba', 'teman', 'berhasil', 'coba', 'pakai', 'login', 'rekening', 'baca', 'mobilenya', 'gagal', 'koneksi', 'coba', 'sim', 'card', 'akses', 'internetnya', 'gagal', 'kirim', 'otp', 'coba', 'cari', 'lokasi', 'jaringannya', 'mudah', 'menerima', 'sms']",tips teman tolong baca ya gagal verifikasi pulsa habis ganti nomor saran hapus data aplikasi baca mobilenya coba teman hasil coba pakai login rekening baca mobilenya gagal koneksi coba sim card akses internetnya gagal kirim otp coba cari lokasi jaring mudah terima sms,Negatif
2025-01-18 11:23:13,Mustar Mustar hadi,4,Belum bisa mendaftar,Belum bisa mendaftar,belum bisa mendaftar,belum bisa mendaftar,"['belum', 'bisa', 'mendaftar']",['mendaftar'],daftar,Positif
2025-01-18 11:19:34,denanda Ofa,1,"Apk cacad dalam sistem, otp ga masuk, aplikasi sering force close, udah kalah sama bank2 lain",Apk cacad dalam sistem otp ga masuk aplikasi sering force close udah kalah sama bank lain,apk cacad dalam sistem otp ga masuk aplikasi sering force close udah kalah sama bank lain,apk cacad dalam sistem otp tidak masuk aplikasi sering force close sudah kalah sama bank lain,"['apk', 'cacad', 'dalam', 'sistem', 'otp', 'tidak', 'masuk', 'aplikasi', 'sering', 'force', 'close', 'sudah', 'kalah', 'sama', 'bank', 'lain']","['apk', 'cacad', 'sistem', 'otp', 'masuk', 'aplikasi', 'force', 'close', 'kalah', 'bank']",apk cacad sistem otp masuk aplikasi force close kalah bank,Negatif
2025-01-18 10:57:38,Chimorinki 5758,5,Mantul,Mantul,mantul,mantul,['mantul'],['mantul'],mantul,Positif
2025-01-18 10:37:38,Najib Goban'02,1,"Sebenarnya biaya adm brapa sh emg, kok ini potongannya lebih dari 25rb",Sebenarnya biaya adm brapa sh emg kok ini potongannya lebih dari rb,sebenarnya biaya adm brapa sh emg kok ini potongannya lebih dari rb,sebenarnya biaya adm berapa sh memang kok ini potongannya lebih dari ribu,"['sebenarnya', 'biaya', 'adm', 'berapa', 'sh', 'memang', 'kok', 'ini', 'potongannya', 'lebih', 'dari', 'ribu']","['biaya', 'adm', 'sh', 'potongannya', 'ribu']",biaya adm sh potong ribu,Negatif
2025-01-18 10:18:35,Siti Barokah,1,Qris error TDK BS dibuka,Qris error TDK BS dibuka,qris error tdk bs dibuka,qris error tidak bisa dibuka,"['qris', 'error', 'tidak', 'bisa', 'dibuka']","['qris', 'error', 'dibuka']",qris error buka,Negatif
2025-01-18 09:17:31,Reza Pranata,1,Kok gak bisa aktivasi sih,Kok gak bisa aktivasi sih,kok gak bisa aktivasi sih,kok tidak bisa aktivasi sih,"['kok', 'tidak', 'bisa', 'aktivasi', 'sih']","['aktivasi', 'sih']",aktivasi sih,Positif
2025-01-18 08:58:25,Abidin Endro,5,Registrasi BCA mobile cara online,Registrasi BCA mobile cara online,registrasi bca mobile cara online,registrasi baca mobile cara online,"['registrasi', 'baca', 'mobile', 'cara', 'online']","['registrasi', 'baca', 'mobile', 'online']",registrasi baca mobile online,Positif
2025-01-18 08:48:37,Ahmad Jaya,3,"Tiba2 aplikasi hilang, pas di cak di play store harus di perbaharui. Udah di perbaharui. Aplikasinya gak terpasang juga di hp. Itu kenapa?",Tiba aplikasi hilang pas di cak di play store harus di perbaharui Udah di perbaharui Aplikasinya gak terpasang juga di hp Itu kenapa,tiba aplikasi hilang pas di cak di play store harus di perbaharui udah di perbaharui aplikasinya gak terpasang juga di hp itu kenapa,tiba aplikasi hilang pas di cak di play store harus di perbaharui sudah di perbaharui aplikasinya tidak terpasang juga di hp itu kenapa,"['tiba', 'aplikasi', 'hilang', 'pas', 'di', 'cak', 'di', 'play', 'store', 'harus', 'di', 'perbaharui', 'sudah', 'di', 'perbaharui', 'aplikasinya', 'tidak', 'terpasang', 'juga', 'di', 'hp', 'itu', 'kenapa']","['aplikasi', 'hilang', 'pas', 'cak', 'play', 'store', 'perbaharui', 'perbaharui', 'aplikasinya', 'terpasang', 'hp']",aplikasi hilang pas cak play store baharu baharu aplikasi pasang hp,Negatif
2025-01-18 08:20:45,hengki Kurniawan,5,good,good,good,good,['good'],['good'],good,Positif
